chain_id,nparticles,dim,scale,eta,alpha,energy,std_error,variance,scaled_energy,scaled_std_error,scaled_variance,accept_rate,nsamples,total_cycles,warmup_cycles,tuning_cycles,optimize_cycles
1,1,3,1.771561000000001,0.01,0.1,3.933349974670258,0.08330763469563812,10.062336747203906,3.933349974670258,0.08330763469563812,10.062336747203906,0.41765,20000,80000,80000,20000,0
2,1,3,1.771561000000001,0.01,0.1,3.854973720583506,0.09085165793727411,9.797720708956637,3.854973720583506,0.09085165793727411,9.797720708956637,0.41805,20000,78000,78000,18000,0
3,1,3,1.771561000000001,0.01,0.1,3.832163246995331,0.07252925849707943,9.522220229337181,3.832163246995331,0.07252925849707943,9.522220229337181,0.4164,20000,78000,78000,18000,0
4,1,3,1.771561000000001,0.01,0.1,3.96797550479825,0.07652031209471531,9.695281742863607,3.96797550479825,0.07652031209471531,9.695281742863607,0.41665,20000,80000,80000,20000,0
5,1,3,1.771561000000001,0.01,0.1,3.9196779850660177,0.06970981099717748,9.319817544128474,3.9196779850660177,0.06970981099717748,9.319817544128474,0.42255,20000,78000,78000,18000,0
6,1,3,1.771561000000001,0.01,0.1,3.877255044029742,0.08561957466873807,10.119415060623131,3.877255044029742,0.08561957466873807,10.119415060623131,0.4282,20000,80000,80000,20000,0
7,1,3,1.771561000000001,0.01,0.1,3.894997100731848,0.07603299883535346,9.61392466435188,3.894997100731848,0.07603299883535346,9.61392466435188,0.41285,20000,78000,78000,18000,0
8,1,3,1.771561000000001,0.01,0.1,3.9487382195664917,0.07312769859334736,10.095879031281722,3.9487382195664917,0.07312769859334736,10.095879031281722,0.41355,20000,78000,78000,18000,0
9,1,3,1.771561000000001,0.01,0.1,3.848701326563024,0.07662905284820627,9.336919307021322,3.848701326563024,0.07662905284820627,9.336919307021322,0.41765,20000,78000,78000,18000,0
10,1,3,1.771561000000001,0.01,0.1,3.9168712471957248,0.07999579641407761,10.205559500156058,3.9168712471957248,0.07999579641407761,10.205559500156058,0.41285,20000,78000,78000,18000,0
11,1,3,1.9487171000000014,0.01,0.1,4.019506599484023,0.07161783985613217,9.641388322544582,4.019506599484023,0.07161783985613217,9.641388322544582,0.384,20000,80000,80000,20000,0
12,1,3,1.771561000000001,0.01,0.1,3.899294700460539,0.07744288149387692,10.055215876097765,3.899294700460539,0.07744288149387692,10.055215876097765,0.41375,20000,78000,78000,18000,0
13,1,3,1.771561000000001,0.01,0.1,3.965411746408877,0.08362348745458333,10.304044800154042,3.965411746408877,0.08362348745458333,10.304044800154042,0.41165,20000,78000,78000,18000,0
14,1,3,1.771561000000001,0.01,0.1,3.9206843307735224,0.07968829431682005,9.760266370014042,3.9206843307735224,0.07968829431682005,9.760266370014042,0.416,20000,78000,78000,18000,0
15,1,3,1.771561000000001,0.01,0.1,3.911779420612287,0.06974336010432815,9.549868236786052,3.911779420612287,0.06974336010432815,9.549868236786052,0.4144,20000,78000,78000,18000,0
16,1,3,1.771561000000001,0.01,0.1,3.9402645542441768,0.07441972816381014,9.401860772540454,3.9402645542441768,0.07441972816381014,9.401860772540454,0.4249,20000,78000,78000,18000,0
1,1,3,1.2100000000000002,0.01,0.2,2.2322222891540644,0.03800209567523556,2.1270137484103895,2.2322222891540644,0.03800209567523556,2.1270137484103895,0.42375,20000,70000,70000,10000,0
